,comment,rating,class,clean_comment,sentiment,sentiment_predict
394,"terima kasih... barang sudah sampai dengan aman.
sesuai dengan estimasi pengiriman.",5,1,terima kasih barang sampai aman sesuai estimasi kirim,1,1
395,"Tonicnya ringan, gak pekat dirambut, belum tahu apakah akan membantu pertumbuhan rambut. Baru pertama kali pakai",5,1,tonicnya ringan gak pekat rambut tahu akan bantu tumbuh rambut baru pertama kali pakai,1,1
396,"Tutupnya pecah, jd tumpah kemana2",3,1,tutup pecah jd tumpah,0,0
397,mantap rambuku jd panjang bet d kasi ini,5,1,mantap rambu jd panjang bet d kasi,1,1
398,"barang sesuai gambar, respon penjual baik, pengiriman cepat, packaging aman 👍🏻",5,1,barang sesuai gambar respon jual baik kirim cepat packaging aman,1,1
399,"Baunya enak, tapi teksturnya lengket dan agak lama kering.",2,1,bau enak tekstur lengket agak lama kering,0,0
400,"barang sesuai, pengiriman sesuai",5,1,barang sesuai kirim sesuai,1,1
401,Pertama x belanja tapi barang hancur djalan,1,1,pertama x belanja barang hancur djalan,0,0
402,ordernya body butter tp yg dikirim body crub,1,1,order body butter tp kirim body crub,0,0
403,"barangnya sesuai dan kondisi barangnya baik, respon penjual juga cepat dan baik jd pengirimannya g lama, sehari sampai + dpt bonus. recommended beli brg di sini!!!",5,1,barang sesuai kondisi barang baik respon jual cepat baik jd kirim g lama hari dpt bonus recommended beli brg sini,1,1
404,"sudah dicoba dan enak banget di kulit, terima kasih",5,1,coba enak banget kulit terima kasih,1,1
405,Belum tahu hasil slimming teanya,3,1,tahu hasil slimming teanya,0,0
406,"seller gercep (kalo weekdays) dan barang komplit, pengiriman juga aman. Selalu puas intinya, thanks",5,1,seller gercep kalo weekdays barang komplit kirim aman selalu puas inti thanks,1,1
407,Selalu top.,5,1,selalu top,1,1
408,Leeembuuuytty bgt. Ku suka,5,1,lembuytty bgt ku suka,1,1
409,"Produk sesuai, dan dapat bonus pula promag herbal. Terima kasih ya Seller :) ",5,1,produk sesuai dapat bonus promag herbal terima kasih seller,1,1
410,"Wangi banget minyaknya, suka",5,1,wangi banget minyak suka,1,1
411,Gak ada bauk2 lemongresss seacan2 pun,3,1,gak bauk lemongres acan,0,0
412,"barangnya bagus, hanya sj ini ndak long lasting, bertahan dalam satuan jam, sekitar pagi ke siang.
dari case nya, sy kurang suka karena tidak bs portable, sementara pemak... ",3,1,barang bagus sj ndak long lasting tahan satu jam pagi siang case nya sy kurang suka tidak bs portable pemak,0,0
413,"tulisannya twin pack tapi saya hanya mendapatkan 1 saja, mana yg 1 lagi?",1,1,tulis twin pack saya dapat mana,0,0
414,"Wanginya cute banget dan suka produknya, dikasih bonus juga. Makasih 😊",5,1,wangi cute banget suka produk kasih bonus makasih,1,1
415,"pembelian 29 Juni dan tiba ditempat 28 Juli, 1 bulan delivery",1,1,beli juni tiba tempat juli bulan delivery,0,0
416,pengemasan toko lama,3,1,emas toko lama,0,0
417,lama pengemasannya,3,1,lama emas,0,0
418,"ga dapat shower puff nya, pas datang cm sabun doank
",3,1,ga shower puff nya pas datang cm sabun doank,0,0
419,"di bonusin promag cair, makasih",4,1,bonusin promag cair makasih,1,1
420,cepat sampainya wangi hair tonicnya smoga cocok untuk rambutku,4,1,cepat sampai wangi hair tonicnya smoga cocok rambut,1,1
421,"Pesan masker bengkoang, yg dikirim peeling. malesin.",1,1,pesan masker bengkoang kirim peeling malesin,0,0
422,Dapet pas harganya lagi promo lumayan bangeeet! Sempat khawatir exp date bakalan pendek ternyata masih november 2023. Packingnya aman banget jd ga perlu khawatir bocor. M... ,5,1,dapet pas harga promo lumayan banget sempat khawatir date bakal pendek nyata november packingnya aman banget jd ga perlu khawatir bocor m,1,1
423,Packing aman. Exp date msh lama. Lengkap & dpt bonus 1 strip. Thankyou 👍🏻👍🏻👍🏻,5,1,packing aman date msh lama lengkap dpt bonus strip thankyou,1,1
424,Expired msh 2thn kurang . Keren👍 Klo yg satu lg (beli yg mate kurang dr 1th) pengiriman super cepat pake bubbles wrapped tebel. Bayar kmrn sore ini sampai. Thanks seller... ,5,1,expired msh thn kurang keren klo satu lg beli mate kurang dr th kirim super cepat pake bubbles wrapped tebel bayar kmrn sore sampai thanks seller,1,1
425,"Yg mate kurang dr 1th expirednya. Katanya produk mustika dijual lbh dr 1 th, tp ini 11bln. Exp jul 2022. Sedangkan skng ud akhir juli mau agust😪 agak kecewa nih.. Tp utk... ",3,1,mate kurang dr th expirednya kata produk mustika jual lbh dr th tp bln jul skng ud akhir juli mau agust kecewa nih tp utk,0,0
426,"Packingan tidak bagus, untung saja tidak ada yg bocor",5,1,packingan bagus untung tidak yg bocor,1,0
427,udah berkali2 beli tumben ga dapet bonus heheh,5,1,udah kali beli tumben ga dapet bonus heheh,1,1
428,beli zaitun tp di kirimnya melati,5,1,beli zaitun tp kirim melati,1,1
429,barang ori bagus dan dari bahan alami,5,1,barang ori bagus dari bahan alami,1,1
430,lumayan tapi terlalu lama nunggu,3,1,lumayan terlalu lama nunggu,0,0
431,"keluhan cuma di bagian ""proses"" yg terllu lama.",3,1,keluh cuma bagi proses terllu lama,0,0
432,bagus mantap,5,1,bagus mantap,1,1
433,diterima dengan baik. respon seller ok banget. pengiriman cepat dan aman,5,1,terima baik respon seller banget kirim cepat aman,1,1
434,packaging kurang baik sehingga ada 1 botol yang tumpah.,1,1,packaging kurang baik ada botol tumpah,0,0
435,"Sesuai dengan Harga,
Produk ok untuk cover wajah
Namun produk bisa nempel ke masker ( tidak parah) dan bisa agak luntur bila berkeringat",3,1,sesuai harga produk untuk cover wajah produk nempel masker parah bisa luntur bila keringat,0,0
436,Sesuai pesanan & paket aman,5,1,sesuai pesan paket aman,1,1
437,mantap lah pokoknya . amanah yg pasti nya. jangan ragu belik di toko ini ya 🙏🤗,5,1,mantap lah pokok amanah pasti nya jangan ragu belik toko ya,1,1
438,"Di gambarnya dapet 2, tp trnyat saya cm dapat 1",4,1,gambar dapet tp trnyat cm,1,0
439,"Untuk pengiriman harus lebih ditingkatkan lagi, selevel official store tapi pembelian pertama saya sampai dibatalkan otomatis oleh sistem karena pengiriman tidak diproses... ",3,1,kirim lebih tingkat level official store beli pertama sampai batal otomatis sistem kirim proses,0,0
440,"Puas beli di Mustika Ratu, pesan kemarin hari ini udah sampai.",5,1,puas beli mustika ratu pesan kemarin hari udah,1,1
441,"Produk ternyata ukuran kecil, tapi kualitas produk sama. Thanks seller",3,1,produk nyata ukur kecil kualitas produk sama thanks seller,0,0
442,pengiriman super lama,3,1,kirim super lama,0,0
443,"ongkir menggunakan kurir nextday tapi paket tiba 3hr kemudian, parah",1,1,ongkir guna kurir nextday paket tiba hr kemudian parah,0,0
444,"bagus. bikin kulit lembap dan tahan lama lembapnya. ga lengket juga, cuma licin aja, ya namanya minyak",5,1,bagus bikin kulit lembap tahan lama lembap ga lengket cuma licin aja nama minyak,1,1
445,"Pengiriman cepat & pengemasan sangat aman.

Barangkali pengemasan bisa lebih efisien sehingga sampah yang dihasilkan lebih sedikit?

Terima kasih!",5,1,kirim cepat emas sangat aman barangkali emas lebih efisien sampah hasil lebih sedikit terima kasih,1,1
446,blm ada khasiatnya si,3,1,blm khasiat si,0,0
447,rambut ga jd lembut,3,1,rambut ga jd lembut,0,0
448,alhamdulillah sampai dgn aman,5,1,alhamdulillah dgn aman,1,1
449,"packing rapi, aman, pengiriman cepat",5,1,packing rapi aman kirim cepat,1,1
450,Orderan diproses lama...,2,1,order proses lama,0,0
451,barang oke respon cpt..packing rapih banget mantap👍👍👍,5,1,barang oke respon cptpacking rapih banget mantap,1,1
452,pengiriman benar2 lama.... sekelas official store....pengiriman bisa lambat banget.....kalau yg mau beli cepat mendingan jangan disini.....,2,1,kirim benar lama kelas official storepengiriman lambat bangetkalau mau beli cepat mending jangan sini,0,0
453,"cukup sekali saja belanja disini. serba lelet, dichat slow respon dan paket juga lelet nyampenya. estimasi tgl 8 juli, tapi baru nyampe tgl 10 juli.",1,1,cukup sekali belanja sini serba lelet dichat slow respon paket lelet nyampenya estimasi tgl juli baru nyampe tgl juli,0,0
454,"Lilitan bubble wrap nya paten, 4 putaran bubble wrap. Dipackaging dgn kardus tebal. Very recommended seller.",5,1,lilit bubble wrap nya paten putar bubble wrap dipackaging dgn kardus tebal very recommended seller,1,1
455,ada 1 yg bocor krna tutupnya gak disolatip buat meminimalisir bocor saat pengiriman.. but okelaah krna diluaran bask itu udah gak ada susah diketemuin,3,1,bocor krna tutup gak disolatip buat meminimalisir bocor kirim but okelaah krna luar bask udah gak susah diketemuin,0,0
456,Tanggal kadaluarsanya cepat. sudah hampir expired. Sekarang udh juni dan September 2021 udah kadaluarsa. cuma bisa dipakai 3bulan.,1,1,tanggal kadaluarsanya cepat hampir expired sekarang udh juni september udah kadaluarsa cuma pakai bulan,0,0
457,"produk original.
banyak manfaat yg didapat dari minyak zaitun mustika ratu.👍",5,1,produk original banyak manfaat dapat minyak zaitun mustika ratu,1,1
458,The best,5,1,the best,1,1
459,"cepat sampainya.
packingnya baik 👍🏾👍🏾.
ORI.
puas belanja di sini.",5,1,cepat sampai packingnya baik ori puas belanja sini,1,1
460,"Dari segi pengiriman cukup bagus. Untuk produknya,bau deodoran nya ga terlalu kecium kaya rexon*",3,1,segi kirim cukup bagus produknyabau deodoran nya ga terlalu cium kaya rexon,0,0
461,kenapa tutupnya bukan yg ulir ya soalnya yg sekarang lubangnya besar jd tumpah2 banyak saat mau diaplikasikan ke rambut dan pengiriman lama banget,3,1,tutup bukan ulir soal sekarang lubang besar jd tumpah banyak mau aplikasi rambut kirim lama banget,0,0
462,maaf cuma bisa kasih bintang 3 krn pengiriman terlama untuk official store.,3,1,maaf cuma kasih bintang krn kirim lama official store,0,0
463,Terima kasih paket sudah diterima dalam keadaan baik. Walau agak lambat dalam proses pengiriman. Body butter ini bagus dan benar-benar melembabkan kulit.,5,1,terima kasih paket terima ada baik agak lambat proses kirim body butter bagus benarbenar melembabkan kulit,1,1
464,👎 pengiriman lelet,1,1,kirim lelet,0,0
465,LENGKET. GAENAK.,1,1,lengket gaenak,0,0
466,Baguss. Pengiriman aman dan cepat,5,1,baguss kirim aman cepat,1,1
467,selalu puas belanja disini.,5,1,selalu puas belanja sini,1,1
468,terimakasih admin mantap,5,1,terimakasih admin mantap,1,1
469,maaf telat konen.produknya bagus.sudah dipakai juga.terima kasih.,5,1,maaf telat konenproduknya bagussudah pakai jugaterima kasih,1,0
470,"dikirim hari rabu, barang sampai hr senin. di toko lain, dikirim hr rabu, hr sabtu sdh sampai. kecewa dengan ekspedisi nya.",1,1,kirim hari rabu barang hr senin toko kirim hr rabu hr sabtu sdh kecewa ekspedisi nya,0,0
471,"Barang sesuai deskripsi, proses cepat",5,1,barang sesuai deskripsi proses cepat,1,1
472,kirain besar ternyata kecil kurang teliti pas pesan... tp gpp soalnya suka bgt sm wanginya enak,5,1,kirain besar nyata kecil kurang teliti pas pesan tp gpp soal suka bgt sm wangi enak,1,1
473,Alhamdulillah paket sampe dengan selamat...,5,1,alhamdulillah paket sampe selamat,1,1
474,ga lengket dikulit,5,1,ga lengket kulit,1,1
475,pengirimannya rada lama.. ,4,1,kirim rada lama,1,1
476,"lumayan lama ngirimnya, barang aman bubble wrap tebel",3,1,lumayan lama ngirimnya barang aman bubble wrap tebel,0,0
477,"harap perbaiki lg dlm pengemasan ya sis.sperti tko sebelah klo botolan minyak zaitun,hairtonic gitu pake solatif ygbanyak dibagian ditutupnya.jd ga rembes gitu.mau ngajui... ",3,1,harap baik lg dlm emas sissperti tko belah klo botol minyak zaitunhairtonic gitu pake solatif ygbanyak bagi ditutupnyajd ga rembes gitumau ngajui,0,0
478,expire masih lama ,5,1,expire lama,1,1
479,"barang sesuai ,, pengiriman aman lancar 
note : jenis ini sold out nya cepat tapi out of stock nya lama ",4,1,barang sesuai kirim aman lancar note jenis sold out nya cepat out of stock nya lama,1,1
480,"barang sudah sampai terima kasih Tokopedia dan mustika ratu untuk packing nya meskipun pengantar sangat terlambat dari jadwal semestinya. 

packing di lapisi Buble warp.... ",3,1,barang sampai terima kasih tokopedia mustika ratu packing nya meski antar sangat lambat jadwal mesti packing lapis buble warp,0,0
481,Dulu pernah suka,3,1,dulu pernah suka,0,0
482,barangnya sampai utuh.tapi lama pengirmannya,5,1,barang utuhtapi lama pengirmannya,1,1
483,Produknya bagus. Tp ekspedisinya lamaaa. Coba pake ekspedisi lain deh. Tangerang jakarta aja bs 4 hari 🥲,4,1,produk bagus tp ekspedisi lama coba pake ekspedisi deh tangerang jakarta aja bs hari,1,1
484,"packing rapi,,,, makasih 
",5,1,packing rapi makasih,1,1
485,"1st order udah mengecewakan, hampir 1 Minggu barang baru dikirim, admin ga teliti, order apa dikirim apa. udah retur
 tetep aja salah, ga lengkap yg dikirim. akhirnya se... ",1,1,st order udah kecewa hampir minggu barang baru kirim admin ga teliti order apa kirim apa udah retur tetep aja salah ga lengkap kirim akhir se,0,0
486,"Gelap bgt wrnanya
",2,1,gelap bgt wrnanya,0,0
487,"enakeun, bersih",5,1,enakeun bersih,1,1
488,Alhamdulillah pesananannya sudah sampai.mudah2an cocok dipakainya.terima kasih buat semua,5,1,alhamdulillah pesananannya sampaimudahan cocok dipakainyaterima kasih buat semua,1,1
489,harum n fresh,5,1,harum n fresh,1,1
490,Produk telah diterima dengan baik dan sesuai. Terima kasih Seller & Tokopedia. Sukses selalu :),5,1,produk terima baik sesuai terima kasih seller tokopedia sukses selalu,1,1
491,"happy shopping.... recommended,kemasan rapih...",5,1,happy shopping recommendedkemasan rapih,1,1
492,"Rasanya manis sekali, tdk berasa kencurnya, setelah sy baca ternyata dalam 500 gr gulanya 440 gr dan kencurnya hanya 50 gr. Tidak teliti sebelum membeli😊",3,1,rasa manis sekali tdk asa kencur sy baca nyata gr gula gr kencur gr teliti beli,0,0
493,Respon cepat....memuaskan...terimakasih ,5,1,respon cepatmemuaskanterimakasih,1,1
494,ahh mantaps,5,1,ahh mantaps,1,1
495,"mantab .paketannya sudah sampai, pengiriman lumayan cepat.terima kasih ya...",5,1,mantab paket sampai kirim lumayan cepatterima kasih,1,1
496,"harumnya suka.. pengemasan aman.. PK bubble wrapp dan kardus
",5,1,harum suka emas aman pk bubble wrapp kardus,1,1
497,"produk orgininal, beli 6 pieces (2 varians sekar gambir dan sari mawar) untuk stok di rumah diberi bonus hand sanityzer zaitun. kereen.
sudah menggunakan produk ini sejak... ",5,1,produk orgininal beli pieces varians sekar gambir sari mawar stok rumah beri bonus hand sanityzer zaitun kereen guna produk sejak,1,1
498,"pengiriman cepat.. ada bonusnya pula, thanks mustika ratu",5,1,kirim cepat bonus thanks mustika ratu,1,1
499,exp date Des 2023 - Mar 2024 👍🏻 bonus hand sanitizer dan sajadah,5,1,date des mar bonus hand sanitizer sajadah,1,1
500,"Dikemas aman, dikirim cepat, wanginya lumayan soft.
Terima kasih...🙂",5,1,kemas aman kirim cepat wangi lumayan soft terima kasih,1,1
501,thx smua pesanan telah sampai dgn aman. thx juga buat bonusannya 🙏🙏,5,1,thx smua pesan sampai dgn aman thx buat bonus,1,1
502,"produk bagus, cuma meler diperjalanan JD isi berkurang",4,1,produk bagus cuma meler jalan jd isi kurang,1,1
503,"packing aman, tapi tutup botolnya kurang rapet jadi tumpah dikit",4,1,packing aman tutup botol kurang rapet jadi tumpah dikit,1,0
504,sesuai pesanan. pengiriman juga cepat. ,5,1,sesuai pesan kirim cepat,1,1
505,"sesuai deskripsi, makasih bonusnya ",5,1,sesuai deskripsi makasih bonus,1,1
506,"pengirimannya lumayan lama, tapi barang Ok:))",3,1,kirim lumayan lama barang,0,0
507,"barang sih ok... pengiriman super lamaaaaaaaa...tgl 17 kirim, sampe tgl 21 🙄",3,1,barang sih kirim super lamatgl kirim sampe tgl,0,0
508,Buat kadoo hrsnya oke sic,5,1,buat kadoo hrsnya oke sic,1,1
509,"pengiriman lamban . Sangat disayangkan ALAMAT tidak ditulis lengkap hanya nama jalan saja, tanpa nomor, nama Residence dan kavling.
Kasihan kurir nya harus telpon dan WA... ",3,1,kirim lamban sangat sayang alamat tulis lengkap nama jalan tanpa nomor nama residence kavling kasihan kurir nya telpon wa,0,0
510,respon cepat kualitas bagus harga bersaing,5,1,respon cepat kualitas bagus harga saing,1,1
511,"saya agak kecewa karna barang melebihi batas pengantaran dan penerimaan. harusnya bisa diterima hari minggu/senin, tetapi barang baru sampai di hari kamis. berkali2 saya... ",2,1,agak kecewa karna barang lebih batas antar terima harus terima hari minggusenin barang baru di hari kamis kali,0,0
512,Barang tiba lengkap. Dikasih bonus bermanfaat juga. Terimakasih mustika ratu! ,5,1,barang tiba lengkap kasih bonus manfaat terimakasih mustika ratu,1,1
513,"Terimakasih kak bonus nya 😊😊.Alhamdulillah 

",5,1,terimakasih kak bonus nya alhamdulillah,1,1
514,yah... kemasan kecil banget,3,1,yah kemas kecil banget,0,0
515,telat nyampe nya. order tanggal 4 mei baru nyampe tanggal 10,3,1,telat nyampe nya order tanggal mei baru nyampe tanggal,0,0
516,tidak suka wangi nya,3,1,suka wangi nya,0,0
517,Bau alkoholnya kerasa bgt,3,1,bau alkohol rasa bgt,0,0
518,warnanya ga kaya yg d gambar ya...ini kaya pink warnanya,3,1,warna ga kaya d gambar yaini kaya pink warna,0,0
519,terima kasih dapat bonus sajadah😍😍😍,5,1,terima kasih bonus sajadah,1,1
520,"Malah dapet bonus lg, thank you",5,1,malah dapet bonus lg thank you,1,1
521,bagus kakak  ,5,1,bagus kakak,1,1
522,"barang sesuai pesanan, packing rapih dan ok, cuman pengiriman lama , pesan tgl 2 Mei barang sampai tgl 8 mei",5,1,barang sesuai pesan packing rapih ok cuman kirim lama pesan tgl mei barang tgl mei,1,1
523,makasi free nya..parfum  sama  hand sanitizernya...mantap,5,1,makas free nyaparfum sama hand sanitizernyamantap,1,1
524,"kemasan bagus, pelayanan cepat dan yg paling penting ternyata cocok buat saya dan kelg untuk menjaga imun, shg kami total yang ini adalah pembelian box ke-6 dlm 3-4 bulan... ",5,1,kemas bagus layan cepat yg paling penting nyata cocok buat dan kelg jaga imun shg total ini beli box dlm bulan,1,1
525,"kalo produk sih, official store jangan ditanya. Pasti berkualitas. Hanya mungkin akan lebih baik jika seller lebih responsif. ",3,1,kalo produk sih official store jangan tanya kualitas mungkin lebih baik seller lebih responsif,0,0
526,"Pengemasan dari pihak toko lambat sekaaaali dan pihak kurir (anter-aja) pun lama sekali. total waktu yg dibutuhkan dari hari pesan sampai pesanan tiba butuh 5 hari. 

Kal... ",3,1,emas pihak toko lambat sekali pihak kurir anteraja lama sekali total waktu butuh hari pesan pesan tiba butuh hari kal,0,0
527,"bagus sesuai packing jg cepet, thanks",5,1,bagus sesuai packing jg cepet thanks,1,1
528,"teksturnya gak kental banget, tapi juga ga secair air. wanginya enak, bikin tenang. gak kesat juga dan gak bikin kering rambut, tapi agak bikin kulit kepala sedikit greas... ",5,1,tekstur gak kental banget ga cair air wangi enak bikin tenang gak kesat juga dan gak bikin kering rambut agak bikin kulit kepala sedikit greas,1,0
529,lama banget responnya. dan pengirimannya sangat sangat sangatlah lamaaa,1,1,lama banget responnya kirim sangat sangat sangat lama,0,0
530,Thank you barang sdh nyampe.,5,1,thank you barang sdh nyampe,1,1
531,"barang sesuai , kemasan ok . ",5,1,barang sesuai kemas,1,1
532,pengiriman dari ekspedisi lama banget 10 hari baru nyampe,5,1,kirim ekspedisi lama banget hari baru nyampe,1,0
533,Produk & packaging gak ada masalah. Dpt bonus permen pula.. thanks Mustika Ratu... Tp bintang gak sempurna krn Pengiriman lwt AnterAja ni yg terlalu lama... Ya bingun... ,4,1,produk packaging gak masalah dpt bonus permen thanks mustika ratu tp bintang gak sempurna krn kirim lwt anteraja ni terlalu lama bingun,1,1
534,Sampai dengan selamat sehat sentosa membuat q bahagia 🌟🌟🌟🌟🌟,5,1,dengan selamat sehat sentosa buat q bahagia,1,1
535,Lama banget sampe nya... ,4,1,lama banget sampe nya,1,0
536,seneng banget dapet banyak bonus free product. kualitasnya cushionnya juga bagus. higly recommended!,5,1,neng banget dapet banyak bonus free product kualitas cushionnya bagus higly recommended,1,1
537,"puas belanja disini. barang sampai dengan aman, dikasih bonus pula",5,1,puas belanja sini barang dengan aman kasih bonus,1,1
538,Kemasannya jelek,3,1,kemas jelek,0,0
539,paking aman& rapi sampai ke tanganku😍 ada bonusnya juga...makasih ya...bakalan terus belanja kesini,5,1,paking aman rapi ke tangan bonus jugamakasih yabakalan terus belanja kesini,1,1
540,mayan buat luluran,5,1,mayan buat lulur,1,1
541,Senang nyaa dkasih bnyak bonus.. ,5,1,senang nyaa dkasih bnyak bonus,1,1
542,barang oke. pengiriman cepat. packing aman. tapi produk kurang wangi kaya produk sebelah H***o***,5,1,barang oke kirim cepat packing aman produk kurang wangi kaya produk belah ho,1,1
543,"pelayanan ok... dapet bonus bnyk lagi.. handsinitizer spray cologne jga
",5,1,layan dapet bonus bnyk handsinitizer spray cologne jga,1,1
544,gulanya lumayan bnyk juga,3,1,gula lumayan bnyk,0,0
545,bermanfaat sekali. produk bagus,5,1,manfaat sekali produk bagus,1,1
546,"product baik, tapi packing dari toko jelek sekali. Mendapat produk rusak dan penjual dari toko tidak baik",1,1,product baik packing toko jelek sekali dapat produk rusak jual toko baik,0,0
547,Trima kasih bonus nya... ,5,1,trima kasih bonus nya,1,1
548,Puas order disini ,5,1,puas order sini,1,1
549,"br coba 1 x sih cm  lemonnya kok Krg berasa ya.. dan  mana katanya ada madu  tp perasaan kok tawar2 ajah deh   gada manisnya ..madu kan identik manis yah  ..
hmmmm....jd... ",3,1,br coba x sih cm lemon kok krg asa dan mana kata madu tp asa kok tawar ajah deh gada manis madu kan identik manis yah hmjd,0,0
550,seller gercep sekaliii...dpt bonus banyak lagi..the best pelayanannya..thanks,5,1,seller gercep sekalidpt bonus banyak lagithe best pelayanannyathanks,1,1
551,pengiriman cepat...kemasan produk rapi,5,1,kirim cepatkemasan produk rapi,1,1
552,seller nya baik.. barang sudah di terima lengkap.. terima kasih yaa di kasih permen,5,1,seller nya baik barang terima lengkap terima kasih yaa di kasih permen,1,1
553,"cepet bgt smpe nya,ada free nya jg 
terimakasih,sukses trs ya
",5,1,cepet bgt smpe nyaada free nya jg terimakasihsukses trs,1,1
554,Terima kasih bonusan nya,5,1,terima kasih bonus nya,1,1
555,Tiba tepat waktu. Wanginya fresh dan tahan lama. Packingnya juga sangat baik. Puas belanja di Official Store. Terima Kasih. ,5,1,tiba tepat waktu wangi fresh tahan lama packingnya sangat baik puas belanja official store terima kasih,1,1
556,"packing aman, barang ori &expire masih di 2024",5,1,packing aman barang ori expire di,1,1
557,"Recommended, barang bagus dan cepat sampai",5,1,recommended barang bagus cepat,1,1
558,eyebrow nyq bagus banget. mudah di aplikasikan dan tdk mudah patah. dan dapat bonus dr seller. thanks ya.,5,1,eyebrow nyq bagus banget mudah aplikasi tdk mudah patah dapat bonus dr seller thanks,1,1
559,"respon penjual cepat, packing bagus, pengiriman cepat, dpt hadiah body spray, makasih yh",5,1,respon jual cepat packing bagus kirim cepat dpt hadiah body spray makasih yh,1,1
560,Kuas utk masker tidak terkirim. ,3,1,kuas utk masker kirim,0,0
561,"Barangnya oke, tapi free kuasnya tidak ada",2,1,barang oke free kuas ada,0,0
562,"katanya bonus kuas, yang dateng malah permen woods..  padahal saya beli 2pcs lochh...  kecewa bangett... ",1,1,kata bonus kuas dateng malah permen woods padahal beli pcs lochh kecewa bangett,0,0
563,kekurangan paket akhirnya datang setelah  setelah 13 hari,3,1,kurang paket akhir datang hari,0,0
564,"wah trims yah ud dikasih bonusnya.
next lagi yah bonusnya 🤭",5,1,wah trims yah ud kasih bonus next yah bonus,1,1
565,sesuai pesanan packing aman banget pas kejar diskon lagi mantap terimakasih,5,1,sesuai pesan packing aman banget pas kejar diskon mantap terimakasih,1,1
566,"thank you toped, thank you mustika ratu, ga di ragukan lagi produk' mustika ratu mah... sukses selalu ",5,1,thank you toped thank you mustika ratu ga ragu produk mustika ratu mah sukses selalu,1,1
567,"Katanya gratis kuas. Saya beli 2, 1 kuas pun tidak dikirim 😟😟",3,1,kata gratis kuas beli kuas tidak kirim,0,0
568,"Sumpah ngga nyangka bakal di kasih gift,senangnya.mksh Mustika ratu ",5,1,sumpah ngga nyangka bakal kasih giftsenangnyamksh mustika ratu,1,1
569,"Akhirnya dapat juga masker tomatnya,    terima kasih mustika ratu.",5,1,akhir juga masker tomat terima kasih mustika ratu,1,1
570,"Barang aman dan sesuai, smoga makin sukses.",5,1,barang aman sesuai smoga makin sukses,1,1
571,makasih barang sudah sampai (ed msh lama 2025) dan banyak bonusnya ,5,1,makasih barang sampai ed msh lama banyak bonus,1,1
572,Sejauh ini masih cocok pake minyak cemceman mustika ratu,5,1,jauh masih cocok pake minyak cemceman mustika ratu,1,1
573,Lumayan rasanya,3,1,lumayan rasa,0,0
574,"aman tanpa cacat, terima kasih mustika ratu ",5,1,aman cacat terima kasih mustika ratu,1,1
575,"Sy kecewa berat sm toko ini.

Mar 28, 2021 - pesen brg
Mar 31, 2021 - brg sampe & rusak. Info 
                          ke toko brg rusak 
Mar 31 - 6 Apr - tidak ada... ",1,1,sy kecewa berat sm toko mar sen brg mar brg sampe rusak info toko brg rusak mar apr ada,0,0
576,"saat dikeluarkan dari kantong, bubuk campuran beras kencurnya masih terlihat bagian beras dan kencur tidak tercampur dengan merata
Rasanya standar, masih kurang mantap di... ",3,1,keluar kantong bubuk campur beras kencur lihat bagi beras kencur campur rata rasa standar kurang mantap,0,0
577,nice... smoga cocok,5,1,nice smoga cocok,1,1
578,"order dgn pengiriman gojek instant tetapi di kirim di hari berikutnya juga, gak ada konfirmasi sm sekali kl misalkan gak bisa di kirim di hari yg sama,, sudah mengajukan... ",1,1,order dgn kirim gojek instant kirim hari ikut gak konfirmasi sm sekali kl misal gak di kirim di hari sama aju,0,0
579,"oke banget...meskipun murah tp daya bersihnya cukup kuat..buat eye makeup cm perlu sekali usap uda bersih,ga berasa panas/berminyak jg dimuka setelah diusap👍",5,1,oke bangetmeskipun murah tp daya bersih cukup kuatbuat eye makeup cm perlu sekali usap uda bersihga asa panasberminyak jg muka usap,1,1
580,"Saya pikir ini botol yg gede, begitu buka paketnya ternyata botol kecil. ",1,1,pikir botol gede buka paket nyata botol kecil,0,0
581,"responnya baik,packingnya aman,barang cepat sampai,barang 
yg datang sesuai dg yg saya pesan,recommanded..😘",4,1,responnya baikpackingnya amanbarang cepat sampaibarang datang sesuai dg saya pesanrecommanded,1,1
582,Terima kasih atas bonusnya. Packing rapi.,5,1,terima kasih atas bonus packing rapi,1,1
583,maskaranya bagus banget bener2 waterproof gak beleberan,5,1,maskara bagus banget bener waterproof gak beber,1,1
584,"respon cpt, packing rapi.. untuk tehnya baru nyoba... smg cocok... trm ksh...",5,1,respon cpt packing rapi teh baru nyoba smg cocok trm ksh,1,1
585,"barang sampai dgn selamat, cuma lamaaa ya sampainya, padahal sedaerah dgn tempat tinggalku",4,1,barang dgn selamat cuma lama sampai padahal daerah dgn tempat tinggal,1,1
586,Wih dapet bonus body spray.. thank you,5,1,wih dapet bonus body spray thank you,1,1
587,packingan  bagus dan rapih.,5,1,packingan bagus rapih,1,1
588,Barangnya berqualitas sy sudah pakai pasta gigi ini selama 7thn . Delivery cepat kemasan bagus. harganya ada diskon dan dpt bonus lg.  Terima kasih bnyk.,5,1,barang berqualitas sy pakai pasta gigi lama thn delivery cepat kemas bagus harga diskon dpt bonus lg terima kasih bnyk,1,1
589,"pesanan cepat hanya 1 hari, exp

 sampai tahun 2024, dikemas rapi. terima kasih mustika ratu
",5,1,pesan cepat hari sampai tahun kemas rapi terima kasih mustika ratu,1,1
